epoch,capsnet_accuracy,capsnet_loss,decoder_loss,loss
0,0.06562499701976776,1.216188907623291,6000.94189453125,2353.585205078125
1,0.0520833320915699,0.6326600909233093,6167.26416015625,2418.200439453125
2,0.06562499701976776,0.6071811318397522,6088.5341796875,2387.31298828125
3,0.0677083358168602,0.603915274143219,6009.517578125,2356.334716796875
4,0.06979166716337204,0.603798508644104,5964.2958984375,2338.608154296875
5,0.0625,0.6011254191398621,5914.970703125,2319.269775390625
6,0.07187499850988388,0.5997234582901001,6190.38720703125,2427.2314453125
7,0.08437500149011612,0.5956040620803833,5940.8056640625,2329.39111328125
8,0.09479166567325592,0.594491183757782,6510.7001953125,2552.788818359375
9,0.13124999403953552,0.5893145799636841,6050.77490234375,2372.49267578125
